radius, whale, ocean
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.163265306122448328e-02,3.806970469552301672e+00,1.945091469416066615e-02
1.632653061224489666e-01,3.806970469552301672e+00,8.487671866542836896e-02
2.448979591836734637e-01,3.822572807542270024e+00,1.662169073864638857e-01
3.265306122448979331e-01,3.822572807542270024e+00,2.793858656070350444e-01
4.081632653061224025e-01,3.822572807542270024e+00,4.279201232715346692e-01
4.897959183673469274e-01,3.822572807542270024e+00,5.976735606023914071e-01
5.714285714285713969e-01,3.822572807542270024e+00,7.621222030166588945e-01
6.530612244897958663e-01,3.822572807542270024e+00,9.460217601250869857e-01
7.346938775510203357e-01,3.822572807542270024e+00,1.163518351705247200e+00
8.163265306122448051e-01,3.822572807542270024e+00,1.407538917868353723e+00
8.979591836734692745e-01,3.822572807542270024e+00,1.587901945032389017e+00
9.795918367346938549e-01,3.822572807542270024e+00,1.833690776167691938e+00
1.061224489795918213e+00,3.822572807542270024e+00,2.084784402219584276e+00
1.142857142857142794e+00,3.822572807542270024e+00,2.311122318660726371e+00
1.224489795918367152e+00,3.822572807542270024e+00,2.540996765046261707e+00
1.306122448979591733e+00,3.822572807542270024e+00,2.836297015403064670e+00
1.387755102040816313e+00,3.822572807542270024e+00,3.147511650509635217e+00
1.469387755102040671e+00,3.822572807542270024e+00,3.419824456227884557e+00
1.551020408163265252e+00,3.822572807542270024e+00,3.706283381723705084e+00
1.632653061224489610e+00,3.822572807542270024e+00,3.950303947886811606e+00
1.714285714285714191e+00,3.822572807542270024e+00,4.234994608410436179e+00
1.795918367346938549e+00,3.822572807542270024e+00,4.523221798878453548e+00
1.877551020408163129e+00,3.822572807542270024e+00,4.774315424930345664e+00
1.959183673469387710e+00,3.822572807542270024e+00,5.034250375843219771e+00
2.040816326530612290e+00,4.041005539401828273e+00,5.311867976478058750e+00
2.122448979591836427e+00,4.259438271261386966e+00,5.564729867502147265e+00
2.204081632653061007e+00,4.259438271261386966e+00,5.819360023498432177e+00
2.285714285714285587e+00,4.259438271261386966e+00,6.127038128660609928e+00
2.367346938775510168e+00,4.259438271261386966e+00,6.395814404434466915e+00
2.448979591836734304e+00,4.259438271261386966e+00,6.655749355347341023e+00
2.530612244897958885e+00,4.259438271261386966e+00,6.905074716427036741e+00
2.612244897959183465e+00,4.259438271261386966e+00,7.184460582034072118e+00
2.693877551020408045e+00,4.259438271261386966e+00,7.444395532946946226e+00
2.775510204081632626e+00,8.191227444733435448e+00,7.722013133581784317e+00
2.857142857142856762e+00,8.191227444733435448e+00,7.973106759633677321e+00
2.938775510204081343e+00,8.191227444733435448e+00,8.208286000935801852e+00
3.020408163265305923e+00,8.316046148653184034e+00,8.402795147877407445e+00
3.102040816326530503e+00,8.472069528552868434e+00,8.542488080680925577e+00
3.183673469387754640e+00,8.752911612372299643e+00,8.646815714040513967e+00
3.265306122448979220e+00,8.752911612372299643e+00,8.694558868289817610e+00
3.346938775510203801e+00,8.752911612372299643e+00,8.724619372817157270e+00
3.428571428571428381e+00,8.752911612372299643e+00,8.740533757566925743e+00
3.510204081632652962e+00,8.752911612372299643e+00,8.747606817455711337e+00
3.591836734693877098e+00,8.752911612372299643e+00,8.749375082427906847e+00
3.673469387755101678e+00,8.752911612372299643e+00,8.752911612372299643e+00
3.755102040816326259e+00,8.752911612372299643e+00,8.752911612372299643e+00
3.836734693877550839e+00,8.752911612372299643e+00,8.752911612372299643e+00
3.918367346938775420e+00,8.752911612372299643e+00,8.752911612372299643e+00
4.000000000000000000e+00,8.752911612372299643e+00,8.752911612372299643e+00
